variant.id;id;sku;title;price;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46355452264743;gid://shopify/ProductVariant/46355452264743;BR04925T;Default Title;28000.0;gid://shopify/Product/8577751843111;Brinco Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante E Esmeralda;5;1;2;BR04925T
gid://shopify/ProductVariant/46355452625191;gid://shopify/ProductVariant/46355452625191;BR04916T;Default Title;99000.0;gid://shopify/Product/8577752105255;Brinco Voyeur De Ouro Branco 18K E Diamante;5;1;2;BR04916T
gid://shopify/ProductVariant/46355452690727;gid://shopify/ProductVariant/46355452690727;BR04922T;Default Title;33000.0;gid://shopify/Product/8577752170791;Brinco Ear Cuff Voyeur De Ouro Branco 18K E Diamante E Safira;5;1;3;BR04922T
gid://shopify/ProductVariant/46355452821799;gid://shopify/ProductVariant/46355452821799;BR04923T;Default Title;33000.0;gid://shopify/Product/8577752301863;Brinco Ear Cuff Voyeur De Ouro Branco 18K E Diamante E Esmeralda;5;1;3;BR04923T
gid://shopify/ProductVariant/46355453640999;gid://shopify/ProductVariant/46355453640999;CL03837;Default Title;57000.0;gid://shopify/Product/8577752400167;Colar Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;2;CL03837
gid://shopify/ProductVariant/46355453772071;gid://shopify/ProductVariant/46355453772071;CL03838;Default Title;31000.0;gid://shopify/Product/8577752531239;Colar Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;CL03838
gid://shopify/ProductVariant/46355454099751;gid://shopify/ProductVariant/46355454099751;CL03832;Default Title;67000.0;gid://shopify/Product/8577752695079;Colar Voyeur De Ouro Branco 18K E Diamante;5;1;2;CL03832
gid://shopify/ProductVariant/46355454394663;gid://shopify/ProductVariant/46355454394663;PU01704T;M;29000.0;gid://shopify/Product/8577752891687;Pulseira Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante - M;5;1;2;PU01704T
gid://shopify/ProductVariant/46355455148327;gid://shopify/ProductVariant/46355455148327;PU01705T;M;19000.0;gid://shopify/Product/8577752989991;Pulseira Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante Negro - M;5;1;2;PU01705T
gid://shopify/ProductVariant/46355473727783;gid://shopify/ProductVariant/46355473727783;BR03065T;Default Title;10400.0;gid://shopify/Product/8577761902887;Brinco Ear Cuff Universo De Ouro Branco 18K Com Ródio Negro E Safira;5;1;2;BR03065T
gid://shopify/ProductVariant/46355477201191;gid://shopify/ProductVariant/46355477201191;BR03067T;Default Title;10400.0;gid://shopify/Product/8577762099495;Brinco Ear Cuff Universo De Ouro Branco 18K Com Ródio Negro E Rubi;5;1;2;BR03067T
gid://shopify/ProductVariant/46355478184231;gid://shopify/ProductVariant/46355478184231;BR04906T;Default Title;28000.0;gid://shopify/Product/8577763016999;Brinco Ear Cuff Universo De Ouro Branco 18K E Diamante;5;1;2;BR04906T
gid://shopify/ProductVariant/46355491062055;gid://shopify/ProductVariant/46355491062055;CL04260;G;8500.0;gid://shopify/Product/8577767571751;Colar Whitechain De Prata Com Ouro Branco - G;0;1;2;CL04260
gid://shopify/ProductVariant/46355492077863;gid://shopify/ProductVariant/46355492077863;BR06050T;G;14500.0;gid://shopify/Product/8577768390951;Brinco We Love Sapphire De Ouro Amarelo 18K E Safira - G;0;1;3;BR06050T
gid://shopify/ProductVariant/46355492471079;gid://shopify/ProductVariant/46355492471079;BR06051T;P;14800.0;gid://shopify/Product/8577768489255;Brinco Ear Cuff We Love Sapphire De Ouro Amarelo 18K E Diamante - P;5;1;2;BR06051T
gid://shopify/ProductVariant/46355494633767;gid://shopify/ProductVariant/46355494633767;BR06063T;P;8500.0;gid://shopify/Product/8577769079079;Brinco Ear Cuff We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Safira - P;5;1;2;BR06063T
gid://shopify/ProductVariant/46355494764839;gid://shopify/ProductVariant/46355494764839;BR06064T;P;13800.0;gid://shopify/Product/8577769177383;Brinco Ear Cuff We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Diamante - P;5;1;2;BR06064T
gid://shopify/ProductVariant/46355494961447;gid://shopify/ProductVariant/46355494961447;BR06069T;P;7200.0;gid://shopify/Product/8577769373991;Brinco We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Safira - P;5;1;2;BR06069T
gid://shopify/ProductVariant/46355498303783;gid://shopify/ProductVariant/46355498303783;BR06070T;P;9500.0;gid://shopify/Product/8577769537831;Brinco We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Diamante - P;5;1;3;BR06070T
gid://shopify/ProductVariant/46355498696999;gid://shopify/ProductVariant/46355498696999;BR06072T;G;14500.0;gid://shopify/Product/8577769734439;Brinco We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Safira - G;5;1;3;BR06072T
gid://shopify/ProductVariant/46355502170407;gid://shopify/ProductVariant/46355502170407;BR06073T;G;14500.0;gid://shopify/Product/8577769898279;Brinco We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Safira - G;5;1;3;BR06073T
gid://shopify/ProductVariant/46355502530855;gid://shopify/ProductVariant/46355502530855;BR06074T;G;21500.0;gid://shopify/Product/8577770094887;Brinco We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Diamante - G;5;1;3;BR06074T
gid://shopify/ProductVariant/46355502694695;gid://shopify/ProductVariant/46355502694695;BR06105T;G;9500.0;gid://shopify/Product/8577770258727;Brinco Ear Cuff We Love Sapphire De Ouro Branco 18K Com Ródio Negro E Safira - G;5;1;1;BR06105T
gid://shopify/ProductVariant/46355502891303;gid://shopify/ProductVariant/46355502891303;BR06056T;G;9500.0;gid://shopify/Product/8577770455335;Brinco Ear Cuff We Love Sapphire De Ouro Rosa 18K E Safira - G;5;1;2;BR06056T
gid://shopify/ProductVariant/46355503382823;gid://shopify/ProductVariant/46355503382823;BR06058T;G;14500.0;gid://shopify/Product/8577770848551;Brinco We Love Sapphire De Ouro Rosa 18K E Safira - G;5;1;3;BR06058T
gid://shopify/ProductVariant/46355503513895;gid://shopify/ProductVariant/46355503513895;BR06059T;Default Title;13800.0;gid://shopify/Product/8577770979623;Brinco Ear Cuff We Love Sapphire De Ouro Rosa 18K E Diamante;5;1;2;BR06059T
gid://shopify/ProductVariant/46355505643815;gid://shopify/ProductVariant/46355505643815;BR06071T;G;21500.0;gid://shopify/Product/8577771307303;Brinco We Love Sapphire De Ouro Rosa 18K E Diamante - G;5;1;3;BR06071T
gid://shopify/ProductVariant/46355505807655;gid://shopify/ProductVariant/46355505807655;PI01364;Default Title;6000.0;gid://shopify/Product/8577771438375;Piercing We Love Sapphire De Ouro Amarelo 18K E Diamante;5;1;2;PI01364
gid://shopify/ProductVariant/46355505873191;gid://shopify/ProductVariant/46355505873191;PI01457;Default Title;7600.0;gid://shopify/Product/8577771503911;Piercing We Love Sapphire De Ouro Branco 18K E Diamante;5;1;1;PI01457
gid://shopify/ProductVariant/46355508625703;gid://shopify/ProductVariant/46355508625703;BR05984T;G;1900.0;gid://shopify/Product/8577773076775;Brinco Pop Chain De Prata Com Ródio Negro - G;0;1;2;BR05984T
gid://shopify/ProductVariant/46355510559015;gid://shopify/ProductVariant/46355510559015;BR05988T;P;1600.0;gid://shopify/Product/8577773306151;Brinco Pop Chain De Prata Com Ródio Negro - P;0;1;2;BR05988T
gid://shopify/ProductVariant/46355510821159;gid://shopify/ProductVariant/46355510821159;BR05992T;Default Title;1500.0;gid://shopify/Product/8577773404455;Brinco Pop Chain De Prata Com Ródio Negro;0;1;2;BR05992T
