variant.id;id;sku;title;price;comparePrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2;SKU;Porcentagem;Encomenda
gid://shopify/ProductVariant/46497111245095;gid://shopify/ProductVariant/46497111245095;CL04542;Default Title;13840.0;17300.0;gid://shopify/Product/8608940785959;Colar Eterna Rock De Ouro Branco 18K E Morganita E Diamante;1.0;1.0;0.0;CL04542;CL04542;20.0;Nao
gid://shopify/ProductVariant/46497112228135;gid://shopify/ProductVariant/46497112228135;CL04586;Default Title;21600.0;27000.0;gid://shopify/Product/8608941408551;Colar Eterna Rock De Ouro Branco 18K E Topázio E Diamante;1.0;1.0;0.0;CL04586;CL04586;20.0;Nao
gid://shopify/ProductVariant/46497112490279;gid://shopify/ProductVariant/46497112490279;CL06391;Default Title;26960.0;33700.0;gid://shopify/Product/8608941572391;Colar Eterna Rock De Ouro Branco 18K E Kunzita E Diamante;1.0;1.0;0.0;CL06391;CL06391;20.0;Nao
gid://shopify/ProductVariant/46497112817959;gid://shopify/ProductVariant/46497112817959;CL04608;Default Title;196000.0;245000.0;gid://shopify/Product/8608941768999;Colar Vita Eterna De Ouro Amarelo 18K E Diamante E Esmeralda;1.0;1.0;0.0;CL04608;CL04608;20.0;Nao
gid://shopify/ProductVariant/46497254015271;gid://shopify/ProductVariant/46497254015271;CL04577;Default Title;20000.0;25000.0;gid://shopify/Product/8609017037095;Colar Eterna Rock De Ouro 18K Com Rodio Negro E Tumalina E Diamante;1.0;1.0;0.0;CL04577;CL04577;20.0;Nao
gid://shopify/ProductVariant/46498387951911;gid://shopify/ProductVariant/46498387951911;AN03577-16;16;59000.0;59000.0;gid://shopify/Product/8609688256807;Anel Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;13.0;0.0;AN03577;AN03577;20.0;Nao
gid://shopify/ProductVariant/46509320470823;gid://shopify/ProductVariant/46509320470823;AN03454-17;17;11680.0;14600.0;gid://shopify/Product/8612632002855;Anel Rock Star De Ouro Branco 18K Com Rodio Negro E Morganita E Diamante;1.0;13.0;0.0;AN03454;AN03454;20.0;Nao
gid://shopify/ProductVariant/46509323288871;gid://shopify/ProductVariant/46509323288871;AN03473-14;14;11200.0;14000.0;gid://shopify/Product/8612632461607;Anel Rock Star De Ouro 18K Com Rodio Negro E Diamante E Safira;1.0;13.0;0.0;AN03473;AN03473;20.0;Nao
gid://shopify/ProductVariant/46509326532903;gid://shopify/ProductVariant/46509326532903;AN03514-17;17;12000.0;15000.0;gid://shopify/Product/8612632822055;Anel Rock Star De Ouro Branco 18K Com Rodio Negro E Morganita E Diamante;1.0;13.0;0.0;AN03514;AN03514;20.0;Nao
gid://shopify/ProductVariant/46509498892583;gid://shopify/ProductVariant/46509498892583;AN03540-14;14;51200.0;64000.0;gid://shopify/Product/8612659659047;Anel Rock Star De Ouro Branco 18K E Rubelita E Diamante;1.0;13.0;0.0;AN03540;AN03540;20.0;Nao
gid://shopify/ProductVariant/46549948203303;gid://shopify/ProductVariant/46549948203303;PU01874T;G;2030.0;2900.0;gid://shopify/Product/8577927676199;Pulseira JV MAN II De Prata Com Ouro Branco;9.0;2.0;2.0;PU01874T;PU01874T;30.0;Nao
gid://shopify/ProductVariant/46550714188071;gid://shopify/ProductVariant/46550714188071;PU01869T;M;2030.0;2900.0;gid://shopify/Product/8577927053607;Pulseira JV MAN II De Prata Com Ródio Negro;13.0;3.0;2.0;PU01869T;PU01869T;30.0;Nao
gid://shopify/ProductVariant/46550714220839;gid://shopify/ProductVariant/46550714220839;PU01881T;GG;2030.0;2900.0;gid://shopify/Product/8577927053607;Pulseira JV MAN II De Prata Com Ródio Negro;13.0;3.0;2.0;PU01881T;PU01881T;30.0;Nao
gid://shopify/ProductVariant/46551266885927;gid://shopify/ProductVariant/46551266885927;PU01884T;P;1890.0;2700.0;gid://shopify/Product/8577943830823;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;38.0;4.0;1.0;PU01884T;PU01884T;30.0;Nao
gid://shopify/ProductVariant/46551281271079;gid://shopify/ProductVariant/46551281271079;PU01886T;M;1890.0;2700.0;gid://shopify/Product/8577943830823;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;38.0;4.0;1.0;PU01886T;PU01886T;30.0;Nao
gid://shopify/ProductVariant/46551392354599;gid://shopify/ProductVariant/46551392354599;PU01888T;G;1890.0;2700.0;gid://shopify/Product/8577943830823;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;38.0;4.0;1.0;PU01888T;PU01888T;30.0;Nao
