id;title;key;value;__parentId
gid://shopify/Metafield/30873774522663;;pedra;"[""Safira""]";gid://shopify/Product/8573470703911
gid://shopify/Metafield/30873774555431;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573470703911
gid://shopify/Product/8573475946791;Brinco Brasil De Ouro 18K Com Ródio Negro E Turmalina;;;
gid://shopify/Metafield/30873799819559;;genero;"[""Feminino""]";gid://shopify/Product/8573475946791
gid://shopify/Metafield/30873799885095;;metal;Ouro Amarelo;gid://shopify/Product/8573475946791
gid://shopify/Metafield/30873799950631;;cobertura;Ródio Negro;gid://shopify/Product/8573475946791
gid://shopify/Metafield/30873800048935;;pedra;"[""Turmalina""]";gid://shopify/Product/8573475946791
gid://shopify/Metafield/30873800114471;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573475946791
gid://shopify/Metafield/31224035639591;;metal_filters;"[""OURO""]";gid://shopify/Product/8573475946791
gid://shopify/Product/8573490659623;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873871843623;;genero;"[""Feminino""]";gid://shopify/Product/8573490659623
gid://shopify/Metafield/30873871909159;;metal;Ouro Amarelo;gid://shopify/Product/8573490659623
gid://shopify/Metafield/30873871974695;;cobertura;Ouro Amarelo;gid://shopify/Product/8573490659623
gid://shopify/Metafield/30873872040231;;pedra;"[""Diamante""]";gid://shopify/Product/8573490659623
gid://shopify/Metafield/30873872072999;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573490659623
gid://shopify/Metafield/31224035836199;;metal_filters;"[""OURO""]";gid://shopify/Product/8573490659623
gid://shopify/Product/8573491052839;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873875644711;;genero;"[""Feminino""]";gid://shopify/Product/8573491052839
gid://shopify/Metafield/30873875677479;;metal;Ouro Amarelo;gid://shopify/Product/8573491052839
gid://shopify/Metafield/30873875743015;;cobertura;Ouro Amarelo;gid://shopify/Product/8573491052839
gid://shopify/Metafield/30873875808551;;pedra;"[""Diamante""]";gid://shopify/Product/8573491052839
gid://shopify/Metafield/30873875874087;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573491052839
gid://shopify/Metafield/31224036032807;;metal_filters;"[""OURO""]";gid://shopify/Product/8573491052839
gid://shopify/Product/8573491413287;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873877971239;;genero;"[""Feminino""]";gid://shopify/Product/8573491413287
gid://shopify/Metafield/30873878004007;;metal;Ouro Amarelo;gid://shopify/Product/8573491413287
gid://shopify/Metafield/30873878036775;;cobertura;Ouro Amarelo;gid://shopify/Product/8573491413287
gid://shopify/Metafield/30873878069543;;pedra;"[""Diamante""]";gid://shopify/Product/8573491413287
gid://shopify/Metafield/30873878102311;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573491413287
gid://shopify/Metafield/31224057332007;;metal_filters;"[""OURO""]";gid://shopify/Product/8573491413287
