Cod_Produto;Id_Product;Title_Product;image_url;Sku;Id_Variant;Title_Variant;Price
CO01316;gid://shopify/Product/8573593288999;Corrente Clássico De Ouro 18K Com Ródio Negro;CO01316;gid://shopify/ProductVariant/46336259981607;Default Title;3700.0
CO00023;gid://shopify/Product/8573593420071;Corrente Clássico De Ouro Branco 18K;CO00023;gid://shopify/ProductVariant/46336260899111;Default Title;2300.0
CO01277;gid://shopify/Product/8573593551143;Corrente Clássico De Ouro Branco 18K;CO01277;gid://shopify/ProductVariant/46336261521703;Default Title;1800.0
CO01315;gid://shopify/Product/8573593682215;Corrente Clássico De Ouro Branco 18K;CO01315;gid://shopify/ProductVariant/46336262603047;Default Title;3700.0
CO01313;gid://shopify/Product/8573593846055;Corrente Clássico De Ouro Rosa 18K;CO01313;gid://shopify/ProductVariant/46336263815463;Default Title;2300.0
CO01317;gid://shopify/Product/8573594009895;Corrente Clássico De Ouro Rosa 18K;CO01317;gid://shopify/ProductVariant/46336265126183;Default Title;3700.0
BR02212T;gid://shopify/Product/8573594140967;Piercing Clássico De Ouro Amarelo 18K E Diamante;BR02212T;gid://shopify/ProductVariant/46336266240295;Default Title;2200.0
BR03167T;gid://shopify/Product/8573594304807;Piercing Clássico De Ouro 18K Com Ródio Negro E Diamante Negro;BR03167T;gid://shopify/ProductVariant/46336267059495;Default Title;1600.0
BR03682T;gid://shopify/Product/8573594435879;Piercing Clássico De Ouro 18K Com Ródio Negro E Diamante;BR03682T;gid://shopify/ProductVariant/46336268009767;Default Title;1950.0
BR02192T;gid://shopify/Product/8573594534183;Piercing Clássico De Ouro Branco 18K E Diamante;BR02192T;gid://shopify/ProductVariant/46336268599591;Default Title;2200.0
PU01082T;gid://shopify/Product/8573594566951;Pulseira Clássico De Ouro Amarelo 18K E Safira;PU01082T;gid://shopify/ProductVariant/46336268632359;Default Title;1850.0
PU01936T;gid://shopify/Product/8573594665255;Pulseira Clássico De Ouro Amarelo 18K E Safira;PU01936T;gid://shopify/ProductVariant/46336269123879;Default Title;1500.0
PU01278T;gid://shopify/Product/8573594763559;Pulseira Clássico De Ouro 18K Com Ródio Negro E Diamante Negro;PU01278T;gid://shopify/ProductVariant/46336269353255;Default Title;1650.0
PU01293T;gid://shopify/Product/8573594796327;Pulseira Clássico De Ouro 18K Com Ródio Negro E Rubi;PU01293T;gid://shopify/ProductVariant/46336269386023;Default Title;21800.0
PU01314T;gid://shopify/Product/8573594861863;Pulseira Clássico De Ouro 18K Com Ródio Negro E Safira;PU01314T;gid://shopify/ProductVariant/46336269943079;Default Title;1850.0
PU01081T;gid://shopify/Product/8573595091239;Pulseira Clássico De Ouro Branco 18K E Safira;PU01081T;gid://shopify/ProductVariant/46336270631207;Default Title;1850.0
PU01422T;gid://shopify/Product/8573595222311;Pulseira Clássico De Ouro Branco 18K E Safira;PU01422T;gid://shopify/ProductVariant/46336272269607;Default Title;1500.0
PU01074T;gid://shopify/Product/8573595418919;Pulseira Clássico De Ouro Rosa 18K E Safira;PU01074T;gid://shopify/ProductVariant/46336274202919;Default Title;1850.0
PU01552T;gid://shopify/Product/8573595549991;Pulseira Clássico De Ouro Rosa 18K E Safira;PU01552T;gid://shopify/ProductVariant/46336276201767;Default Title;1500.0
BR04856T;gid://shopify/Product/8573597548839;Brinco Especial De Ouro Amarelo 18K E Esmeralda;BR04856T;gid://shopify/ProductVariant/46336295665959;Default Title;1100.0
BR04857T;gid://shopify/Product/8573597647143;Brinco Especial De Ouro Amarelo 18K E Esmeralda;BR04857T;gid://shopify/ProductVariant/46336296485159;Default Title;1600.0
BR05616T;gid://shopify/Product/8573597810983;Brinco Especial De Ouro 18K Com Ródio Negro E Esmeralda;BR05616T;gid://shopify/ProductVariant/46336297926951;Default Title;1100.0
BR05879T;gid://shopify/Product/8573598007591;Brinco Especial De Ouro 18K Com Ródio Negro E Safira;BR05879T;gid://shopify/ProductVariant/46336299598119;Default Title;23900.0
BR06472T;gid://shopify/Product/8573598236967;Brinco Especial De Ouro 18K Com Ródio Negro E Esmeralda;BR06472T;gid://shopify/ProductVariant/46336301924647;Default Title;8500.0
BR06513T;gid://shopify/Product/8573598368039;Brinco Especial De Ouro 18K Com Ródio Negro E Esmeralda;BR06513T;gid://shopify/ProductVariant/46336303038759;Default Title;18900.0
BR04220T;gid://shopify/Product/8573598564647;Brinco Especial De Ouro Branco 18K E Diamante Negro;BR04220T;gid://shopify/ProductVariant/46336304644391;Default Title;2200.0
BR04221T;gid://shopify/Product/8573598794023;Brinco Especial De Ouro Branco 18K E Diamante Negro;BR04221T;gid://shopify/ProductVariant/46336306708775;Default Title;5200.0
BR04223T;gid://shopify/Product/8573598957863;Brinco Especial De Ouro Branco 18K E Diamante Negro;BR04223T;gid://shopify/ProductVariant/46336308347175;Default Title;12400.0
BR06298T;gid://shopify/Product/8573599351079;Brinco Especial De Ouro Branco 18K E Diamante Negro;BR06298T;gid://shopify/ProductVariant/46336311230759;Default Title;3700.0
PU02059T;gid://shopify/Product/8573599711527;Pulseira Especial De Ouro Branco 18K E Diamante;PU02059T;gid://shopify/ProductVariant/46336312607015;Default Title;140000.0
BR05881T;gid://shopify/Product/8573608624423;Brinco Especial De Ouro Amarelo 18K E Diamante Fancy;BR05881T;gid://shopify/ProductVariant/46336405405991;Default Title;4700.0
BR03449T;gid://shopify/Product/8573608722727;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR03449T;gid://shopify/ProductVariant/46336405995815;Default Title;2000.0
BR05301T;gid://shopify/Product/8573608788263;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR05301T;gid://shopify/ProductVariant/46336406126887;Default Title;1400.0
BR06039T;gid://shopify/Product/8573608821031;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR06039T;gid://shopify/ProductVariant/46336406159655;Default Title;3100.0
BR06040T;gid://shopify/Product/8573608853799;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR06040T;gid://shopify/ProductVariant/46336406225191;Default Title;5300.0
BR06041T;gid://shopify/Product/8573608886567;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR06041T;gid://shopify/ProductVariant/46336406257959;Default Title;10500.0
BR06042T;gid://shopify/Product/8573609017639;Brinco Especial De Ouro Branco 18K E Diamante Solitário;BR06042T;gid://shopify/ProductVariant/46336406847783;Default Title;16800.0
BR06111T;gid://shopify/Product/8573609214247;Brinco Especial De Ouro Rosa 18K E Diamante Solitário;BR06111T;gid://shopify/ProductVariant/46336408060199;Default Title;1400.0
CL04318;gid://shopify/Product/8573609345319;Colar Especial De Ouro Branco 18K E Diamante Solitário;CL04318;gid://shopify/ProductVariant/46336408682791;Default Title;69000.0
CL04441;gid://shopify/Product/8573609476391;Colar Especial De Ouro Branco 18K E Diamante Solitário;CL04441;gid://shopify/ProductVariant/46336409796903;Default Title;5950.0
CL04442;gid://shopify/Product/8573609607463;Colar Especial De Ouro Branco 18K E Diamante Solitário;CL04442;gid://shopify/ProductVariant/46336410583335;Default Title;11000.0
CL04443;gid://shopify/Product/8573609705767;Colar Especial De Ouro Branco 18K E Diamante Solitário;CL04443;gid://shopify/ProductVariant/46336411205927;Default Title;11000.0
CL04328;gid://shopify/Product/8573611573543;Colar Especial De Ouro Amarelo E Branco 18K E Diamante Fancy;CL04328;gid://shopify/ProductVariant/46336427295015;Default Title;39000.0
BR06473T;gid://shopify/Product/8573617799463;Brinco Ear Cuff Eterna Rock De Ouro 18K Com Ródio Negro E Safira;BR06473T;gid://shopify/ProductVariant/46336489095463;Default Title;57000.0
BR06258T;gid://shopify/Product/8573617832231;Brinco Eterna Rock De Ouro Branco 18K E Morganita E Diamante;BR06258T;gid://shopify/ProductVariant/46336489128231;Default Title;18000.0
CL06397;gid://shopify/Product/8573617930535;Colar Eterna Rock De Ouro 18K Com Ródio Negro E Kunzita E Diamante;CL06397;gid://shopify/ProductVariant/46336489390375;Default Title;24000.0
BR06392T;gid://shopify/Product/8573624090919;Brinco Eterna Rock De Ouro Branco 18K E Topázio E Diamante;BR06392T;gid://shopify/ProductVariant/46336517308711;Default Title;31000.0
BR03582T;gid://shopify/Product/8573625237799;Brinco Gala De Ouro 18K Com Ródio Negro E Diamante;BR03582T;gid://shopify/ProductVariant/46336525238567;Default Title;44000.0
BR02064T;gid://shopify/Product/8573626286375;Brinco Galeria De Ouro Amarelo 18K;BR02064T;gid://shopify/ProductVariant/46336529334567;Default Title;8400.0
BR02005T;gid://shopify/Product/8573626679591;Brinco Galeria De Ouro Branco 18K E Diamante;BR02005T;gid://shopify/ProductVariant/46336531333415;Default Title;13900.0
CL00331;gid://shopify/Product/8573628023079;Colar Algema De Ouro Amarelo 18K E Diamante - P;CL00331;gid://shopify/ProductVariant/46336536477991;P;5200.0
