id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount.count;sku_2;variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel;Em estoque
gid://shopify/ProductVariant/46336096796967;BR05777T;Default Title;15900.0;12000.0;5;gid://shopify/Product/8573577920807;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes;5;1;3;BR05777T;BR05777T;gid://shopify/ProductVariant/46336096796967;5.0;0.0;True;False
gid://shopify/ProductVariant/46336099909927;BR05778T;Default Title;4900.0;4200.0;5;gid://shopify/Product/8573578215719;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;5;1;2;BR05778T;BR05778T;gid://shopify/ProductVariant/46336099909927;5.0;0.0;True;False
gid://shopify/ProductVariant/46336104169767;BR05779T;Default Title;7500.0;6500.0;5;gid://shopify/Product/8573578608935;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Esmeraldas;5;1;3;BR05779T;BR05779T;gid://shopify/ProductVariant/46336104169767;5.0;0.0;True;False
gid://shopify/ProductVariant/46336121569575;CL01443;Default Title;27900.0;20900.0;5;gid://shopify/Product/8573579919655;Colar Choker De Ouro Amarelo 18K;5;1;3;CL01443;CL01443;gid://shopify/ProductVariant/46336121569575;5.0;0.0;True;False
gid://shopify/ProductVariant/46336123502887;CL01450;Default Title;8900.0;6500.0;5;gid://shopify/Product/8573580116263;Colar Choker De Ouro Amarelo 18K;5;1;4;CL01450;CL01450;gid://shopify/ProductVariant/46336123502887;5.0;0.0;True;False
gid://shopify/ProductVariant/46336129794343;CL01442;Default Title;29000.0;29000.0;0;gid://shopify/Product/8573580673319;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;3;CL01442;CL01442;gid://shopify/ProductVariant/46336129794343;0.0;0.0;False;False
gid://shopify/ProductVariant/46336136773927;CL01449;Default Title;9900.0;6700.0;6;gid://shopify/Product/8573581426983;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;6;1;3;CL01449;CL01449;gid://shopify/ProductVariant/46336136773927;5.0;0.0;True;True
gid://shopify/ProductVariant/46336139165991;CL01451;Default Title;6200.0;5200.0;0;gid://shopify/Product/8573581656359;Colar Choker De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;2;CL01451;CL01451;gid://shopify/ProductVariant/46336139165991;0.0;0.0;False;False
gid://shopify/ProductVariant/46336139264295;CL03641;Default Title;8500.0;5200.0;5;gid://shopify/Product/8573581787431;Colar Choker De Ouro Branco 18K Com Ródio Negro E Rubi;5;1;3;CL03641;CL03641;gid://shopify/ProductVariant/46336139264295;5.0;0.0;True;False
gid://shopify/ProductVariant/46336139493671;CL03642;Default Title;8900.0;6500.0;5;gid://shopify/Product/8573581852967;Colar Choker De Ouro Branco 18K Com Ródio Negro E Esmeralda;5;1;3;CL03642;CL03642;gid://shopify/ProductVariant/46336139493671;5.0;0.0;True;False
gid://shopify/ProductVariant/46336139559207;CL03643;Default Title;6900.0;5200.0;6;gid://shopify/Product/8573581918503;Colar Choker De Ouro Branco 18K Com Ródio Negro E Safira;6;1;3;CL03643;CL03643;gid://shopify/ProductVariant/46336139559207;5.0;0.0;True;True
gid://shopify/ProductVariant/46336139657511;CL03645;Default Title;7500.0;5500.0;5;gid://shopify/Product/8573582016807;Colar Choker | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;5;1;3;CL03645;CL03645;gid://shopify/ProductVariant/46336139657511;5.0;0.0;True;False
gid://shopify/ProductVariant/46336140837159;CL01438;Default Title;36900.0;32000.0;5;gid://shopify/Product/8573582213415;Colar Choker De Ouro Branco 18K E Diamante;5;1;3;CL01438;CL01438;gid://shopify/ProductVariant/46336140837159;5.0;0.0;True;False
gid://shopify/ProductVariant/46336144146727;CL01446;Default Title;46000.0;42000.0;0;gid://shopify/Product/8573582541095;Colar Choker De Ouro Branco 18K E Diamante;0;1;3;CL01446;CL01446;gid://shopify/ProductVariant/46336144146727;0.0;0.0;False;False
gid://shopify/ProductVariant/46336149192999;CL01448;Default Title;10900.0;7400.0;5;gid://shopify/Product/8573582901543;Colar Choker De Ouro Branco 18K E Diamante;5;1;3;CL01448;CL01448;gid://shopify/ProductVariant/46336149192999;5.0;0.0;True;False
gid://shopify/ProductVariant/46336152437031;CL01452;Default Title;7900.0;5600.0;5;gid://shopify/Product/8573583196455;Colar Choker De Ouro Branco 18K E Diamante;5;1;4;CL01452;CL01452;gid://shopify/ProductVariant/46336152437031;5.0;0.0;True;False
gid://shopify/ProductVariant/46336174981415;BR05643T;Default Title;14900.0;10900.0;5;gid://shopify/Product/8573584998695;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;5;1;2;BR05643T;BR05643T;gid://shopify/ProductVariant/46336174981415;5.0;0.0;True;False
gid://shopify/ProductVariant/46336178258215;BR05649T;Default Title;17900.0;14500.0;6;gid://shopify/Product/8573585326375;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;6;1;2;BR05649T;BR05649T;gid://shopify/ProductVariant/46336178258215;5.0;0.0;True;True
gid://shopify/ProductVariant/46336182747431;BR05642T;Default Title;18500.0;14900.0;5;gid://shopify/Product/8573585621287;Brinco Ear Cuff Deco 2019 | Ouro Branco 18K E Diamantes;5;1;2;BR05642T;BR05642T;gid://shopify/ProductVariant/46336182747431;5.0;0.0;True;False
gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;27900.0;23000.0;5;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5;1;2;BR05650T;BR05650T;gid://shopify/ProductVariant/46336185958695;5.0;0.0;True;False
gid://shopify/ProductVariant/46336190873895;CL04279;Default Title;55000.0;46000.0;0;gid://shopify/Product/8573586374951;Colar Deco 2019 De Ouro Branco 18K E Diamante;0;1;2;CL04279;CL04279;gid://shopify/ProductVariant/46336190873895;0.0;0.0;False;False
gid://shopify/ProductVariant/46336245661991;BR02400T;Default Title;9500.0;5200.0;5;gid://shopify/Product/8573591617831;Brinco Clássico | Ouro Amarelo 18K E Diamantes;5;1;3;BR02400T;BR02400T;gid://shopify/ProductVariant/46336245661991;5.0;0.0;True;False
gid://shopify/ProductVariant/46336245727527;BR02108T;Default Title;9500.0;5200.0;5;gid://shopify/Product/8573591716135;Brinco Clássico | Ouro Branco 18K E Diamantes;5;1;2;BR02108T;BR02108T;gid://shopify/ProductVariant/46336245727527;5.0;0.0;True;False
gid://shopify/ProductVariant/46336246710567;BR02120T;Default Title;9500.0;5200.0;5;gid://shopify/Product/8573591781671;Brinco Clássico | Ouro Rosa 18K E Diamantes;5;1;2;BR02120T;BR02120T;gid://shopify/ProductVariant/46336246710567;5.0;0.0;True;False
gid://shopify/ProductVariant/46336249626919;BR02148T;Default Title;3900.0;2300.0;5;gid://shopify/Product/8573591978279;Piercing Clássico De Ouro Rosa 18K E Diamante;5;1;3;BR02148T;BR02148T;gid://shopify/ProductVariant/46336249626919;5.0;0.0;True;False
gid://shopify/ProductVariant/46336250675495;CL01000;Default Title;6900.0;3400.0;6;gid://shopify/Product/8573592142119;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;6;1;2;CL01000;CL01000;gid://shopify/ProductVariant/46336250675495;5.0;0.0;True;True
gid://shopify/ProductVariant/46336251560231;CL01042;Default Title;4900.0;4100.0;5;gid://shopify/Product/8573592273191;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;CL01042;CL01042;gid://shopify/ProductVariant/46336251560231;5.0;0.0;True;False
gid://shopify/ProductVariant/46336253985063;CL00999;Default Title;6900.0;3400.0;6;gid://shopify/Product/8573592568103;Colar Clássico De Ouro Branco 18K E Diamante Negro;6;1;2;CL00999;CL00999;gid://shopify/ProductVariant/46336253985063;5.0;0.0;True;True
gid://shopify/ProductVariant/46336255263015;CL00016;Default Title;2500.0;1800.0;5;gid://shopify/Product/8573592699175;Corrente Clássico De Ouro Amarelo 18K;5;1;3;CL00016;CL00016;gid://shopify/ProductVariant/46336255263015;5.0;0.0;True;False
gid://shopify/ProductVariant/46336256606503;CO01314;Default Title;3500.0;;6;gid://shopify/Product/8573592895783;Corrente Você - 45cm | Ouro Amarelo 18K;6;1;4;CO01314;CO01314;gid://shopify/ProductVariant/46336256606503;5.0;0.0;True;True
gid://shopify/ProductVariant/46336258277671;CO01318;Default Title;5500.0;3700.0;5;gid://shopify/Product/8573593059623;Corrente Clássico De Ouro Amarelo 18K;5;1;3;CO01318;CO01318;gid://shopify/ProductVariant/46336258277671;5.0;0.0;True;False
gid://shopify/ProductVariant/46336259391783;CO01312;Default Title;3500.0;;6;gid://shopify/Product/8573593190695;Corrente Você - 45cm | Ouro Branco 18K Com Ródio Negro;6;1;3;CO01312;CO01312;gid://shopify/ProductVariant/46336259391783;5.0;0.0;True;True
gid://shopify/ProductVariant/46336259981607;CO01316;Default Title;5500.0;3700.0;0;gid://shopify/Product/8573593288999;Corrente Clássico De Ouro Branco 18K Com Ródio Negro;0;1;3;CO01316;CO01316;gid://shopify/ProductVariant/46336259981607;0.0;0.0;False;False
gid://shopify/ProductVariant/46336260899111;CO00023;Default Title;3500.0;;8;gid://shopify/Product/8573593420071;Corrente Você - 45cm | Ouro Branco 18K;8;1;4;CO00023;CO00023;gid://shopify/ProductVariant/46336260899111;5.0;0.0;True;True
gid://shopify/ProductVariant/46336261521703;CO01277;Default Title;2500.0;1800.0;6;gid://shopify/Product/8573593551143;Corrente Clássico De Ouro Branco 18K;6;1;2;CO01277;CO01277;gid://shopify/ProductVariant/46336261521703;5.0;0.0;True;True
gid://shopify/ProductVariant/46336262603047;CO01315;Default Title;5500.0;3700.0;1;gid://shopify/Product/8573593682215;Corrente Clássico De Ouro Branco 18K;1;1;3;CO01315;CO01315;gid://shopify/ProductVariant/46336262603047;0.0;0.0;False;True
gid://shopify/ProductVariant/46336263815463;CO01313;Default Title;3500.0;3500.0;7;gid://shopify/Product/8573593846055;Corrente Clássico | Ouro Rosa 18K;7;1;3;CO01313;CO01313;gid://shopify/ProductVariant/46336263815463;5.0;0.0;True;True
gid://shopify/ProductVariant/46336265126183;CO01317;Default Title;4500.0;3700.0;5;gid://shopify/Product/8573594009895;Corrente Clássico De Ouro Rosa 18K;5;1;3;CO01317;CO01317;gid://shopify/ProductVariant/46336265126183;0.0;0.0;False;True
gid://shopify/ProductVariant/46336266240295;BR02212T;Default Title;3900.0;2300.0;5;gid://shopify/Product/8573594140967;Piercing Clássico De Ouro Amarelo 18K E Diamante;5;1;3;BR02212T;BR02212T;gid://shopify/ProductVariant/46336266240295;5.0;0.0;True;False
gid://shopify/ProductVariant/46336267059495;BR03167T;Default Title;2900.0;1600.0;5;gid://shopify/Product/8573594304807;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;3;BR03167T;BR03167T;gid://shopify/ProductVariant/46336267059495;5.0;0.0;True;False
gid://shopify/ProductVariant/46336268009767;BR03682T;Default Title;3500.0;1950.0;6;gid://shopify/Product/8573594435879;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante;6;1;3;BR03682T;BR03682T;gid://shopify/ProductVariant/46336268009767;5.0;0.0;True;True
gid://shopify/ProductVariant/46336268599591;BR02192T;Default Title;3900.0;2300.0;5;gid://shopify/Product/8573594534183;Piercing Clássico De Ouro Branco 18K E Diamante;5;1;3;BR02192T;BR02192T;gid://shopify/ProductVariant/46336268599591;5.0;0.0;True;False
gid://shopify/ProductVariant/46336268632359;PU01082T;Default Title;2900.0;1850.0;5;gid://shopify/Product/8573594566951;Pulseira Clássico De Ouro Amarelo 18K E Safira;5;1;3;PU01082T;PU01082T;gid://shopify/ProductVariant/46336268632359;5.0;0.0;True;False
